Name,Year,T,IP,K%,BB%,K-BB%,HR%,AVG,WHIP,DER,LOB%,RA-,FIP-,xFIP-,RA,FIP,R-F,xFIP,tRA,FAv,ERA
"Senga, Koudai",2022,H,144,27.5,8.6,0.188,1.2,0.208,1.06,0.708,81.3,66,74,79,2.31,2.59,-0.28,2.75,2.53,154.5,1.94
"Yamamoto, Yoshinobu",2022,B,193,27.4,5.6,0.218,0.8,0.198,0.93,0.716,80.9,56,59,66,1.96,2.05,-0.09,2.31,1.85,151.9,1.68
"Imanaga, Shota",2022,DB,143.2,23.6,5.2,0.184,2.5,0.204,0.94,0.751,85.3,63,88,86,2.32,3.24,-0.92,3.18,3.2,147.3,2.26
"Yanagi, Yuya",2023,D,158.1,16.5,7.4,0.091,0.9,0.221,1.09,0.738,77.7,74,90,106,2.61,3.17,-0.55,3.74,3.12,143.6,2.44
"Norimoto, Takahiro",2023,E,155,17.5,6.9,0.105,1.1,0.236,1.15,0.71,72.1,95,87,97,3.31,3.04,0.27,3.38,3.2,146.9,2.61
"Uwasawa, Naoyuki",2023,F,170,17.8,5.9,0.119,2,0.238,1.14,0.713,74,100,98,99,3.49,3.44,0.05,3.48,3.42,145.5,2.96
"Ojima, Kazuya",2023,M,158.1,17.4,8.7,0.087,2.1,0.244,1.26,0.715,76.2,104,112,106,3.64,3.92,-0.28,3.72,3.95,144.7,3.52
"Tokoda, Hiroki",2023,C,156,13.5,4.4,0.091,2,0.244,1.1,0.726,82.5,76,104,106,2.65,3.65,-1,3.72,3.59,142.5,2.19
"Ogawa, Yasuhiro",2023,S,144,14.9,5.7,0.092,2.4,0.233,1.09,0.733,71.4,107,110,107,3.75,3.85,-0.1,3.77,3.72,142,3.38
"Togo, Shosei",2023,G,170,20.9,5.8,0.151,2.1,0.225,1.06,0.724,82,74,91,96,2.59,3.21,-0.61,3.39,3.09,146.4,2.38
"Ogasawara, Shinnosuke",2023,D,160.2,20.2,6.2,0.14,2.1,0.253,1.21,0.691,72.3,110,95,95,3.87,3.34,0.52,3.36,3.58,145.4,3.59
"Yamasaki, Iori",2023,G,149,18.1,4.3,0.138,1.7,0.221,0.97,0.737,76.6,79,88,97,2.78,3.09,-0.31,3.41,3.09,147,2.72
"Katoh, Takayuki",2023,F,163.1,12.8,2.5,0.103,2.2,0.262,1.09,0.715,75.3,93,97,100,3.25,3.39,-0.14,3.49,3.63,137.6,2.87
"Kuri, Aren",2023,C,174.1,18.3,6.9,0.113,1.1,0.231,1.1,0.722,75.3,85,87,101,2.99,3.07,-0.07,3.54,3.02,143.2,2.53
"Itoh, Masashi",2023,T,146.2,15.9,3.7,0.122,1.4,0.226,0.96,0.739,78.5,70,85,94,2.45,2.99,-0.54,3.29,2.97,142.3,2.39
"Azuma, Katsuki",2023,DB,172.1,20,2.3,0.177,2.1,0.232,0.95,0.719,86,59,80,84,2.09,2.81,-0.72,2.96,2.94,144.6,1.98
"Itoh, Hiromi",2023,F,153.1,20.6,6.3,0.143,1.7,0.254,1.23,0.688,73.1,107,90,89,3.76,3.16,0.6,3.11,2.91,147.3,3.46
"Taira, Kaima",2023,L,150,25,9,0.16,1.6,0.213,1.13,0.716,79.5,81,86,86,2.82,3,-0.18,3.01,2.89,151.3,2.4
"Imanaga, Shota",2023,DB,148,29.2,4,0.252,2.9,0.238,1.05,0.692,83.7,80,76,68,2.8,2.68,0.11,2.38,2.74,147.7,2.8
"Miyagi, Hiroya",2023,B,146.2,21.2,5.4,0.158,1.2,0.203,0.94,0.744,78.8,67,77,85,2.33,2.69,-0.36,2.97,2.64,145.3,2.27
"Takahashi, Hiroto",2023,D,146,23.3,8.2,0.151,1,0.238,1.23,0.68,75.9,91,81,90,3.21,2.84,0.37,3.15,2.57,152.3,2.53
"Murakami, Shoki",2023,T,144.1,25.8,2.8,0.229,1.7,0.181,0.74,0.768,81.8,53,65,73,1.87,2.3,-0.43,2.55,2.17,145.6,1.75
"Yamamoto, Yoshinobu",2023,B,164,26.6,4.4,0.222,0.3,0.198,0.88,0.719,83.7,42,50,67,1.48,1.74,-0.26,2.33,1.74,153,1.21
"Takahashi, Kona",2023,L,155,19.2,7.5,0.117,1.3,0.221,1.1,0.732,78.4,78,91,95,2.73,3.17,-0.44,3.32,3.05,150.4,2.21
"Ohsera, Daichi",2024,C,155,15.6,7.8,0.078,0.8,0.21,1.08,0.746,81.6,67,99,114,2.15,3.19,-1.05,3.68,3.09,144.5,1.86
"Ohtake, Koutaro",2024,T,144.2,15.5,5.6,0.099,1.4,0.25,1.15,0.714,77.2,91,100,102,2.92,3.24,-0.31,3.3,3.09,137.7,2.8
"Arihara, Kohei",2024,H,182.2,19.1,5.2,0.139,1.7,0.215,0.98,0.735,77,82,94,91,2.76,3.18,-0.42,3.06,3.23,147.2,2.36
"Ojima, Kazuya",2024,M,163.1,19.7,5.4,0.143,2.2,0.254,1.18,0.692,73.7,111,102,91,3.75,3.45,0.29,3.06,3.41,145.8,3.58
"Kishi, Takayuki",2024,E,143.1,12.4,4.9,0.075,2.2,0.261,1.21,0.715,78.4,97,115,116,3.27,3.87,-0.61,3.92,4,141.3,2.83
"Katoh, Takayuki",2024,F,166.2,15.3,2.5,0.128,2.2,0.271,1.15,0.687,80.1,88,99,92,2.97,3.34,-0.37,3.1,3.54,137.8,2.7
"Yamasaki, Iori",2024,G,147.1,16.6,6.8,0.098,1.3,0.258,1.24,0.697,79.6,91,106,109,2.93,3.44,-0.5,3.5,3.7,146.6,2.81
"Ogasawara, Shinnosuke",2024,D,144.1,13.6,3.7,0.1,1.5,0.27,1.2,0.693,71.8,114,101,103,3.68,3.26,0.42,3.32,3.71,143.6,3.12
"Moinelo, Livan",2024,H,163,24.4,7.4,0.17,1.7,0.187,0.94,0.761,83.6,64,89,85,2.15,3,-0.85,2.86,3.05,149.4,1.88
"Tokoda, Hiroki",2024,C,167,13.7,6.9,0.068,1.3,0.275,1.31,0.691,81.2,87,109,112,2.8,3.52,-0.71,3.63,3.42,143.1,2.48
"Azuma, Katsuki",2024,DB,183,19.2,3.7,0.155,1.5,0.243,1.05,0.704,83.9,69,88,92,2.21,2.85,-0.64,2.96,3.02,143,2.16
"Imai, Tatsuya",2024,L,173.1,26.3,9.8,0.164,1.1,0.215,1.17,0.708,79.2,80,83,87,2.7,2.79,-0.09,2.93,2.9,152.7,2.34
"Sumida, Chihiro",2024,L,179.1,21.4,4.9,0.166,1.5,0.242,1.09,0.696,77.9,83,83,82,2.81,2.78,0.03,2.75,3.01,146.5,2.76
"Morishita, Masato",2024,C,151.2,16,4.7,0.113,1,0.242,1.09,0.716,77.2,85,92,102,2.73,2.97,-0.24,3.3,2.93,146.6,2.55
"Itoh, Hiromi",2024,F,176.1,22.7,5.5,0.172,2,0.229,1.07,0.716,76.6,91,89,84,3.06,3.01,0.06,2.85,2.92,148.3,2.71
"Jackson, Andre",2024,DB,143,20.6,8.7,0.119,1.4,0.209,1.12,0.728,73,103,101,100,3.34,3.26,0.08,3.22,2.9,151.8,2.9
"Hayakawa, Takahisa",2024,E,170.1,23.2,5.1,0.181,1.4,0.242,1.12,0.689,77.8,85,78,81,2.85,2.62,0.23,2.72,2.8,144.1,2.54
"Takeuchi, Natsuki",2024,L,145.1,18.8,3.9,0.15,1.1,0.226,0.98,0.726,77.6,72,79,89,2.42,2.67,-0.25,2.99,2.77,145.9,2.23
"Sugano, Tomoyuki",2024,G,156.2,18.3,2.6,0.156,1,0.229,0.94,0.715,84.3,55,79,86,1.78,2.55,-0.77,2.78,2.68,147.9,1.67
"Murakami, Shoki",2024,T,153.2,20.5,5.2,0.153,1.1,0.247,1.15,0.676,71.9,103,82,89,3.34,2.63,0.7,2.86,2.6,146.4,2.58
"Taneichi, Atsuki",2024,M,147.1,24.2,6.2,0.18,0.8,0.234,1.13,0.687,71.4,100,73,81,3.36,2.47,0.89,2.75,2.49,149.1,3.05
"Saiki, Hiroto",2024,T,167.2,20.4,5.7,0.148,0.6,0.226,1.06,0.715,82.9,58,75,91,1.88,2.41,-0.53,2.94,2.34,148.5,1.83
"Takahashi, Hiroto",2024,D,143.2,22.8,6,0.169,0.2,0.207,0.98,0.72,82.2,52,66,79,1.69,2.12,-0.43,2.55,1.92,152.3,1.38
"Togo, Shosei",2024,G,180,22.2,6.3,0.159,1.7,0.202,0.96,0.744,86.4,60,94,91,1.95,3.02,-1.07,2.92,3.01,146.7,1.95
"Yamasaki, Sachiya",2024,F,147.2,12.3,4.7,0.077,2.8,0.259,1.15,0.723,77.9,103,125,106,3.47,4.21,-0.74,3.57,4.12,139.1,3.17
